,fullTitle,subjects,holdings
12664,Classification of incarcerated sex offenders by personality type / by F. Swift Gibson.,"Sex offenders -- Classification, Minnesota Multiphasic Personality Inventory",None
12665,"The magical record of the Beast 666 : the diaries of Aleister Crowley, 1914-1920 / edited with copious annotations by John Symonds and Kenneth Grant.",Magic,BF 1598 .C7 A3
12666,Ceremonial magic : a guide to the mechanisms of ritual / by Israel Regardie.,"Magic, Ritual",BF 1623 .R6 R43
12667,Corpus palmomanticum graecum / Salvatore Costanza.,"Manuscripts, Greek (Papyri), Fortune-telling -- Sources",BF 1765 .C67 2009
12668,The triarchic mind : a new theory of human intelligence / Robert J. Sternberg.,"Intellect, Mental discipline, Success",BF 431 .S7383 1988
12669,"Affect, creative experience, and psychological adjustment / [edited] by Sandra W. Russ.","Creative ability -- Congresses, Affect (Psychology) -- Congresses, Adjustment (Psychology) -- Congresses",BF 408 .A34 1999
12670,"Visual attention, color processing and physiological measure differences in males and females with substance abuse and opiate addiction / Jo Ann Petrie.","EEG, visual attention, opiate addiction, sex differences, substance abuse, color processing, ERP, VEP",None
12671,Understanding body movement : an annotated bibliography.,"Body language -- Bibliography, Movement, Psychology of -- Bibliography",BF 295 .X1 D3
12672,"Human information processing; individuals and groups functioning in complex social situations [by Harold M. Schroder, Michael J. Driver [and] Siegfried Streufert.","Social psychology, Human information processing",BF 455 .S29
12673,Change in group therapy : a grounded theory inquiry into group and interpersonal patterns in a community sample / Rebecca Rosa Cañate.,"group psychotherapy, grounded theory, Interpersonal Reconstructive Therapy, interpersonal",None
12674,"Human nature and the social order, .","Social psychology, Psychology",BF 121 .T44 1940
12675,Human relations: comments and cases [by] F. K. Berrien and Wendell H. Bash.,Interpersonal relations,BF 636 .B447 1957
12676,Imaging and behavioral correlates of the anterior cingulate in pediatric traumatic brain injury / Tricia L. Merkley.,"anterior cingulate, pediatric traumatic brain injury, MRI, DTI, cognitive control",None
12677,"Human relations in interracial housing : a study of the contact hypothesis / Daniel M. Wilner, Rosabelle Price Walkley, Stuart W. Cook.","Discrimination in housing, Interpersonal relations",BF 636 .W537
12678,Life-span development / John W. Santrock.,Developmental psychology,BF 713 .S26 1986
12679,Models of cognitive development / Ken Richardson.,"Developmental psychology, Cognition",BF 713 .R525x 1998
12680,"Nature and nurture during infancy and early childhood / Robert Plomin, John C. DeFries, David W. Fulker.","Nature and nurture, Behavior genetics, Difference (Psychology), Child psychology",BF 701 .P55 1988
12681,"Contesting childhood : autobiography, trauma, and memory / Kate Douglas.","Autobiographical memory, Memory -- Social aspects, Collective memory, Psychic trauma",BF 378 .S65 D68 2010
12682,"Contesting performance : global sites of research / edited by Jon McKenzie, Heike Roms, and C. J. W.-L. Wee.",Performance -- Evaluation,BF 481 .C665 2010
12683,Child psychology and childhood education : a cognitive-developmental view / Lawrence Kohlberg with Rheta DeVries ... [et al.].,"Child psychology, Child development, Educational psychology, Education",BF 121 .K55 1987
12684,"Environment, heredity, and intelligence / compiled from the Harvard educational review.","Intellect -- Genetic aspects, Nature and nurture, Children with social disabilities -- Education",BF 431 .E62
12685,Ask and it is given : learning to manifest your desires / [channelled by] Esther and Jerry Hicks.,Spirit writings,BF 1301 .A17 2004
12686,"Creative talents : their nature, uses and development / J.P. Guilford.","Creative thinking, Creative ability",BF 408 .G85x 1986
12687,Creativity : the magic synthesis / Silvano Arieti.,Creative ability,BF 408 .A64
12688,The Malleability of children / edited by James J. Gallagher and Craig T. Ramey.,"Adaptability (Psychology) in children, Child development",BF 723 .A28 M35 1987
12689,Character : the history of a cultural obsession / Marjorie Garber.,Character -- History,BF 818 .G31525 2020
12690,Psychological tools : a sociocultural approach to education / Alex Kozulin.,"Vygotskiĭ, L. S. (Lev Semenovich), 1896-1934, Learning, Psychology of, Cognition -- Social aspects, Learning -- Social aspects, Educational psychology",BF 318 .K65 1998
12691,Linking bullyproof : teaching about bullying and harassment using national standards for school counseling and health education / written by Emily Coe-Sullivan and Nan Stein.,"Bullying, Bullying -- Prevention, School violence, Aggressiveness in children",BF 637 .B85 L44 2006
12692,The future of the self : an interdisciplinary approach to personhood and identity in the digital age / Jay Friedenberg.,"Self-presentation, Identity (Psychology), Brain, Information technology -- Social aspects, Online identities, Avatars (Virtual reality)",BF 697.5 .S44 F75 2020
12693,"Handbook of adult resilience / edited by John W. Reich, Alex J. Zautra, John Stuart Hall.","Resilience (Personality trait), Crisis management, Community organization",BF 698.35 .R47 H36 2010
12694,Sports as finite provinces of meaning : an application of the phenomenology of Alfred Schutz / by K. Gail Whitaker.,"Meaning (Psychology), Cognitive styles, Phenomenological psychology, Schutz, Alfred, 1899-1959",None
12695,Handbook of creativity / edited by Robert J. Sternberg.,"Creative ability, Creative thinking",BF 408 .H285 1989
12696,Youth helping youth : a handbook for training peer facilitators / by Robert D. Myrick and Tom Erney.,"Helping behavior, Adolescent psychotherapy, Peer counseling of students",BF 637 .H4 M9
12697,Real people : personal identity without thought experiments / Kathleen V. Wilkes.,"Identity (Psychology), Consciousness, Psychology, Pathological, Psychology -- Methodology",BF 697 .W4935 1988
12698,A critical study of Freud's concept of unconscious mental processes : with special reference to Gestalt psychology / Allan Richard Strauss.,"Subconsciousness, Gestalt psychology, Freud, Sigmund, 1856-1939",BF 315 .S8
12699,Birthtimes : a scientific investigation of the secrets of astrology / Michel Gauquelin ; translated by Sarah Matthews.,Astrology,BF 1708.1 .G375 1983
12700,Biographical dictionary of psychology / Leonard Zusne.,"Psychologists -- Biography, Psychology -- History",BF 109 .A1 Z85 1984
12701,Handbook of cross-cultural counseling and therapy / edited by Paul Pedersen.,"Cross-cultural counseling, Psychotherapy -- Cross-cultural studies, Minorities -- Counseling of",BF 637 .C6 H317 1985
12702,"The electrified mind : development, psychopathology, and treatment in the era of cell phones and the internet / edited by Salman Akhtar.","Internet -- Psychological aspects, Communication -- Technological innovations, Communication -- Psychological aspects, Cyberspace -- Psychological aspects",BF 637 .C45 E44 2011
12703,"Individuality, the impossible project : psychoanalysis and self-creation / Carlo Strenger.","Individuation (Psychology), Individuation (Psychology) -- Case studies, Psychoanalysis",BF 175.5 .I53 S77 1998
12704,"Kicking the fear habit : using your automatic orienting reflex to unlearn your anxieties, fears, and phobias / Manuel J. Smith.","Fear, Phobias, Behavior modification",BF 575 .F2 S6
12705,Thinking visually / Stephen K. Reed.,"Visualization, Cognitive psychology",None
12706,"The development of spatial thinking in schoolchildren / I.S. Yakimanskaya ; volume editors, English language edition, Patricia S. Wilson and Edward J. Davis ; translator, Robert H. Silverman.","Space perception in children -- Soviet Union, Cognition in children -- Soviet Union, Visualization",BF 723 .S63 I3413 1991
12707,"Research on young children's humor : theoretical and practical implications for early childhood education / Eleni Loizou, Susan L. Recchia, editors.","Humor in children, Wit and humor in education, Early childhood education",BF 723 .H85 R47x 2019
12708,"Brunelleschi, Lacan, Le Corbusier : architecture, space and the construction of subjectivity / Lorens Holm.","Space perception, Psychoanalysis and architecture, Space (Architecture), Perspective, Subjectivity",BF 469 .H64 2009
12709,"Death, dying, transcending / edited by Richard A. Kalish.","Death -- Psychological aspects, Death -- Social aspects",BF789.D4 S6 1980
12710,"The culture of diagram / John Bender, Michael Marrinan.","Visualization, Visual perception, Art and science, Art, Modern -- History, Scientific literature -- History, Encyclopédie, Diderot, Denis, 1713-1784",BF 367 .B46 2010
12711,Current issues in applied memory research / edited by Graham M. Davies & Daniel B. Wright.,"Memory -- Research, Cognitive psychology",BF 375 .C87 2010
12712,"How we learn : the surprising truth about when, where, and why it happens / Benedict Carey.","Learning, Psychology of, Learning",BF 318 .C366 2014
12713,"The narcissist next door : understanding the monster in your family, in your office, in your bed--in your world / Jeffrey Kluger.",Narcissism,BF 575 .N35 K58 2014
12714,The ship of thought : essays on psychoanalysis and learning / edited by Duncan Barford.,"Learning, Psychology of",BF 318 .S55x 2002
12715,Developmental psychology : a psychobiological approach / John Nash.,Developmental psychobiology,BF 701 .N3 1978
12716,"Friendship and love, ethics and politics : studies in mediaeval and early modern history / Eva Österberg.","Friendship -- Europe -- History, Love -- Europe -- History, Sex -- Europe -- History",BF 575 .F66 O76 2010
12717,"Life in the middle : psychological and social development in middle age / edited by Sherry L. Willis, James D. Reid.","Middle age, Middle age -- Psychological aspects, Middle age -- Social aspects",BF 724.65 .M53 L5x 1999
12718,"Longing for nothingness : resistance, denial, and the place of death in the nursing home / Andrew Stein.","Death -- Psychological aspects, Nursing home patients -- Psychology, Nursing homes -- Psychological aspects, Chronic diseases -- Psychological aspects",BF 789 .D4 S72 2010
12719,Psychology in Australia : achievements & prospects / edited by Mary Nixon and Ronald Taft.,Psychology -- Australia,BF 108 .A9 P74
12720,Better than one : how we each have two minds / David J. Uings.,Consciousness,BF 311 .U36 2014
12721,Information processing in motor control and learning / edited by George E. Stelmach.,"Perceptual-motor learning, Human information processing, Sensorimotor integration, Physical education and training",BF 295 .M67
12722,Psychology ; Psychological principles / James Ward ; edited and with prefaces by Daniel N. Robinson.,Psychology,BF 121 .W3x 1977
12723,"Le fanatisme : ses racines : un essai historique et psychanalytique / André Haynal, Miklos Molnar, Gérard de Puymège.","Fanaticism -- Psychological aspects, Psychoanalysis",BF 575 .F16 H3
12724,Seminal research papers / J. McK. Cattell ... [et al.] ; edited and with prefaces by Daniel N. Robinson.,Psychology,BF 149 .S38x 1977
12725,A manual of psychology / George Frederick Stout ; edited and with prefaces by Daniel N. Robinson.,Psychology,BF 131 .S9x 1899
12726,Works on psychometrics / Alfred Binet ... [et al.] ; edited and with prefaces by Daniel N. Robinson.,"Psychometrics, Educational psychology",BF 39 .W67x
12727,"Inference, guesswork and creativity. Cooperative research project no. 684 ...supported by the Cooperative Research Program of the Office of Education, U. S. Dept. of Health, Education, and Welfare.",Creative ability,BF 408 .W44
12728,Alterations of personality : On double consciousness / Alfred Binet ; edited and with prefaces by Daniel N. Robinson.,"Personality disorders, Consciousness",BF 1211 .B62x 1977
12729,The emotions and the will / Alexander Bain ; edited and with prefaces by Daniel N. Robinson.,"Emotions, Will",BF 531 .B2x 1977
12730,The senses and the intellect / Alexander Bain ; edited and with prefaces by Daniel N. Robinson.,"Psychophysiology, Mind and body",BF 161 .B3x 1977
12731,"Cognitive search : evolution, algorithms, and the brain / edited by Peter M. Todd, Thomas T. Hills, and Trevor W. Robbins.","Cognition, Searching behavior, Memory, Brain, Information retrieval",BF 311 .C5527 2012
12732,"Tenderness is strength : from machismo to manhood / by Harold C. Lyon, Jr. ; with the editorial assistance of Gabriel Saul Heilig.","Men -- Psychology, Tenderness (Psychology)",BF 692.5 .L96
12733,Diseases of memory ; Diseases of personality ; Diseases of the will / Théodule Armand Ribot ; edited and with prefaces by Daniel N. Robinson.,"Memory, Psychology, Pathological, Personality, Will",BF 376 .R4 1977
12734,Lectures on human and animal psychology / Wilhelm Wundt ; edited and with prefaces by Daniel N. Robinson.,"Psychology, Comparative, Psychophysiology",BF 123 .W95x 1977
12735,Notebooks / B. F. Skinner ; edited and with an introd. by Robert Epstein.,"Psychology, Behaviorism (Psychology)",BF 121 .S538
12736,"Humanity's dark side : evil, destructive experience, and psychotherapy / edited by Arthur C. Bohart ... [et al.].","Good and evil -- Psychological aspects, Psychotherapy",BF 789 .E94 H86 2013
12737,Readings in adult psychology : contemporary perspectives / edited by Lawrence R. Allman and Dennis T. Jaffe.,Adulthood,BF 724.5 .R4
12738,The comparative psychology of man / Herbert Spencer. Last words on evolution / Ernst Haeckel. Contributions to the study of the behavior of lower organisms / Herbert S. Jennings ; edited and with prefaces by Daniel N. Robinson.,"Evolution -- Religious aspects, Invertebrates -- Behavior, Ethnopsychology",BF 671 .S74x 1977
12739,"Why people believe weird things : pseudoscience, superstition, and other confusions of our time / Michael Shermer ; foreword by Stephen Jay Gould.","Belief and doubt, Pseudoscience, Creative ability in science",BF 773 .S56 1997
12740,On intelligence / Hippolyte Adolphe Taine ; edited and with prefaces by Daniel N. Robinson.,"Psychology, Knowledge, Theory of",BF 122 .T313x 1977
12741,A text-book in psychology / Johann Friedrich Herbart. The Study of psychology / George Henry Lewes. Outlines of psychology / Hermann Lotze ; edited and with prefaces by Daniel N. Robinson.,Psychology,BF 131 .H53
12742,Expected motor skill levels of elementary school students : a comparative study / by Modjtaba Mortazavi-Amoli.,"Motor ability in children, Motor learning, Child development, Elementary school teachers -- Attitudes",None
12743,"Recueil de pieces pour servir de supplément a l'histoire des pratiques superstitieuses. Par le R.P. Pierre Le Brun, Pr etre de l'Oratoire.","Superstition, Magic",BF 1602 .L5 1751 vol.4
12744,Tutorials in visual cognition / edited by Veronika Coltheart.,"Visual perception -- Congresses, Cognition -- Congresses",BF 241 .T868 2010
12745,The effect of a home learning program on the balance performance of elementary aged learning disabled students / by Michael A. Horvat.,"Motor learning, Physical education for children with mental disabilities",None
12746,The reliability of acceptance inspection in criterion-referenced measurement of a selected physical education sport skill test / by Douglas J. Goar.,"Criterion-referenced tests, Bowling -- Ability testing, Physical fitness -- Testing",None
12747,"The self under siege : a therapeutic model for differentiation / Robert W. Firestone, Lisa Firestone, and Joyce Catlett.","Self-actualization (Psychology), Differentiation (Cognition), Voice",BF 637 .S4 F5619 2013
12748,Communication incompetencies : a theory of training oral performance behavior / Gerlad M. Phillips with contributions by Lynne Kelly and Rebecca B. Rubin.,"Bashfulness, Oral communication, Behavior modification, Speech -- Study and teaching, Pennsylvania State University. Reticence Program",BF 575 .B3 P45 1991
12749,"The wound of mortality : fear, denial, and acceptance of death / edited by Salman Akhtar.","Death -- Psychological aspects, Fear, Denial (Psychology)",BF 789 .D4 W68 2010
12750,"Seven views of mind / Lise Wallach, Michael A Wallach.","Consciousness, Psychology",BF 311 .W2668 2012
12751,Psychometric properties of the Spanish version of the Treatment Support Measure (TSM-SP) / Corinne Elizabeth Ruth.,"Spanish translation, routine outcome monitoring, psychometrics, community settingvvvv",None
12752,"Values, religion, and culture in adolescent development / edited by Gisela Trommsdorff, Xinyin Chen.","Adolescent psychology, Values, Religion and culture",BF 724 .V35 2012
12753,Individuality : human possibilities and personal choice in the psychological development of men and women / Leona E. Tyler.,"Individuality, Personality, Developmental psychology",BF 697 .T793
12754,College counseling center treatment outcomes : a comparison of student athletes and general population students / Mariah M. Bullock.,"psychotherapy, college counseling center, athletes, treatment outcome",None
12755,"Counseling the culturally different : theory and practice / Derald W. Sue, with chapter contributions by Edwin H. Richardson, Rene A. Ruiz, Elsie J. Smith.",Cross-cultural counseling,BF 637 .C6 S85
12756,Correlates of absence : math achievement and citizenship grades / by Christy Larsen.,"School attendance -- United States, Mathematics -- Study and teaching (Elementary) -- United States, Civics -- Study and teaching (Elementary) -- United States",None
12757,I don't know what to say : how to help and support someone who is dying / Robert Buckman ; with contributions by Ruth Gallop and John Martin.,"Death -- Psychological aspects, Terminal care -- Psychological aspects, Helping behavior",BF 789.D4 B82x 1988
12758,The obstacle is the way : the timeless art of turning trials into triumph / Ryan Holiday.,"Motivation (Psychology), Self-realization",BF 503 .H65 2014
12759,Motor development and movement experiences for young children (3-7) / David Gallahue.,"Motor learning, Movement, Psychology of",BF 723 .M6 G34
12760,Developmental predictors of adolescent alcohol intake : a nonhuman primate model / Elizabeth Katherine Wood.,"adolescence, alcohol use disorders, anxiety, rhesus monkeys, temperament",None
12761,"Cognition and figurative language / edited by Richard P. Honeck, Robert R. Hoffman.","Psycholinguistics, Cognition, Figures of speech",BF455 .C6727
12762,Becoming William James / Howard M. Feinstein.,"James, William, 1842-1910, Psychologists -- United States -- Biography, Philosophers -- United States -- Biography",BF 109.J28 F44 1984
12763,Normality and the life cycle : a critical integration / edited by Daniel Offer and Melvin Sabshin.,"Developmental psychology, Mental health",BF713 .N67 1984
12764,"The effectiveness of excuses, justifications, and apologies employed in legal defense for homicide / by Heidi J. Higgins.","Homocide, Defense (Criminal procedure), Excuses, Justification (Law), Apologizing",None
12765,Essais de la sémiotique du sujet / Charles Bouazis.,Psychoanalysis,BF 173 .B69
12766,Helping children cope with stress / Avis Brenner.,"Stress in children, Stress in children -- Etiology",BF 723 .S75 B74 1984
12767,"Boredom, self, and culture / Seán Desmond Healy.","Boredom, Boredom -- Social aspects, Educational psychology, Meaning (Psychology)",BF 575 .B67 H42 1984
12768,"The creative spirit / Daniel Goleman, Paul Kaufman, Michael Ray.",Creative ability,BF 408 .G57 1992b
12769,The teenage survival book / by Sol Gordon.,"Adolescent psychology, Identity (Psychology), Interpersonal relations, Success",BF 724 .G64 1981
12770,"I want to change, but I don't know how / Tom Rusk & Randy Read.","Self-perception, Self-acceptance, Success -- Problems, exercises, etc",BF 637 .S8 R88
12771,"Research methods in applied behavior analysis / Jon S. Bailey, Mary R. Burch.","Psychology, Applied -- Research -- Methodology",BF 76.5 B35 2002
12772,"When I say no, I feel guilty : how to cope--using the skills of systematic assertive therapy / Manuel J. Smith.",Assertiveness (Psychology),BF 575 .A85 S63
12773,The effect of movement uncertainty on the gross motor reaction and movement time of mildly mentally retarded children / by Emily Ann DiStefano.,"Reaction time, Children with mental disabilities -- Psychological testing",None
12774,Elementary statistics / Janet T. Spence ... [et al.].,"Psychology -- Statistical methods, Psychometrics",HA 29 .U43 1968
12775,"How creativity happens in the brain / Arne Dietrich, Professor of Psychology, American University of Beirut, Lebanon.","Creative ability, Brain, Cognition",BF 408 .D534 2015
12776,The narrative complexity of ordinary life : tales from the coffee shop / William L. Randall.,"Psychology -- Biographical methods, Discourse analysis, Narrative -- Psychological aspects",BF 39.4 .R36 2015
12777,Dilemmas of trust / Trudy Govier.,"Trust, Interpersonal relations",BF 575 .T7 G68x 1998
12778,The essential Jung / selected and introduced by Anthony Storr.,Psychoanalysis,BF 173 .J6623 1983
12779,"Birth order : its influence on personality / Cécile Ernst, Jules Angst ; foreword by M. Bleuler.",Birth order,BF 723 .B5 E76 1983
12780,Children and psychologists / [by] Phillip Williams.,Child psychology -- Vocational guidance,BF 721 .W48
12781,De l'exorcisme à la psychanalyse : le féminin expurgé / par Monique Schneider.,"Psychoanalysis, Exorcism, Witchcraft, Women -- Folklore",BF 175 .S33
12782,"The search for oneness / by Lloyd H. Silverman, Frank M. Lachmann, and Robert Milich.","Intimacy (Psychology), Psychoanalysis, Mental health, Psychology, Pathological, Mahler, Margaret S, Kohut, Heinz",BF 575 .I5 S54 1982
12783,"Studies in perception, edited by Gerald M. Murch.",Perception,BF 311 .M69
12784,Types of reinforcement conditions and effects on attentional behavior of severely mentally retarded boys in physical education / by Paul L. Bishop.,"Attention, Reinforcement (Psychology), Physical education for children with mental disabilities, Boys",None
12785,"Slides as a nonverbal, visual instrument for measuring meaning perceived in physical activity / by Jill Doreen Barrett.","Body language, Sports -- Psychological aspects",None
12786,Jak pracovat? : přednásky z roku 1898 / T.G. Masaryk.,Work,BF 481 .M383x 1930
12787,The conative connection : uncovering the link between who you are and how you perform / Kathy Kolbe.,"Creative ability, Will, Self-actualization (Psychology), Success -- Psychological aspects",BF 411 .K64 1990
12788,The self and its emotions / Kristján Kristjánsson.,"Self, Self (Philosophy), Self psychology",BF 697 .K75 2010
12789,"Wahrnehmen, Urteilen, Handeln : Forschungen im Spannungsfeld von allgemeiner und angewandter Psychologie / [Beitr. von Helmut von Bracken ... et al.] ; hrsg. von Alexander Thomas und Rainer Brackhane.","Perception, Sensory discrimination, Difference (Psychology), Psychology, Applied",BF 311 .W266518
12790,Computation and cognition : toward a foundation for cognitive science / Zenon W. Pylyshyn.,"Cognition, Artificial intelligence",BF 311 .P93 1984
12791,Philosophical essays on Freud / edited by Richard Wollheim and James Hopkins.,"Freud, Sigmund, 1856-1939, Psychoanalysis, Psychology -- Philosophy",BF 173 .F85 P45 1982
12792,Forms of interpersonal feedback / by William G. Dyer.,Feedback (Psychology),BF 319.5 .F4 D84x 1973
12793,The other side of desire : Lacan's theory of the registers / Tamise Van Pelt.,"Lacan, Jacques, 1901-1981, Psychoanalysis",BF 173 .V248 2000
12794,Sigmund Freud / Robert Bocock.,"Freud, Sigmund, 1856-1939 -- Political and social views",BF 173 .F85 B63 1983
12795,"Reasoning, learning, and action : individual and organizational / Chris Argyris.","Problem solving, Learning, Psychology of, Organizational effectiveness",BF 441 .A64 1982
12796,"The happiness project : or why I spent a year trying to sing in the morning, clean my closets, fight right, read Aristotle, and generally have more fun / Gretchen Rubin.","Happiness, Self-actualization (Psychology)",BF 575 .H27 R83 2009
12797,"Psychological testing : principles, applications, and issues / Robert M. Kaplan, Dennis P. Saccuzzo.",Psychological tests,BF 176 .K36
12798,Psychological experiments on the Internet / edited by Michael H. Birnbaum.,"Internet in experimental psychology, Human experimentation in psychology -- Data processing",BF 198.7 .P79x 2000
12799,Language comprehension and the acquisition of knowledge. Edited by John B. Carroll and Roy O. Freedle.,"Psycholinguistics -- Congresses, Cognition -- Congresses",BF 455 .L276
12800,Menschenbild und Wirklichkeit : e. Beitr. zur pädag. Theorie d. Interesses / Gerd Schneider.,"Interest (Psychology), Child psychology, Educational psychology",BF 323 .I5 S36
12801,An unsolicited gift : why we do what we do / Dennis Friedman.,"Developmental psychology, Parent and child, Nature and nurture, Human behavior",BF 341 .F75x 2010
12802,Self-love : the heart of healing / Joseph A. Magno.,"Love, Self-acceptance",BF 575 .L8 M29 2000
12803,Théorie de la motivation humaine : du besoin au projet d'action / Joseph Nuttin.,Motivation (Psychology),BF503 .N87
12804,The prediction of categories from measurements : with applications to personnel selection and clinical prognosis / J.P. Guilford and William B. Michael.,Psychological tests,BF 431 .G833x 1949
12805,Feelings of structure : explorations in affect / edited by Karen Engle and Yoke-Sum Wong.,"Affect (Psychology), Emotions",BF 588 .F38x 2018
12806,The architecture of cognition / John R. Anderson.,"Cognition -- Data processing, Human information processing, Digital computer simulation",BF 311 .A5894 1983
12807,Motherloss / Lynn Davidman.,"Grief, Bereavement -- Psychological aspects, Mothers -- Death -- Psychological aspects, Loss (Psychology)",BF 575 .G7 D367x 2000
12808,New trends in conceptual representation : challenges to Piaget's theory? / edited by Ellin Kofsky Scholnick.,"Piaget, Jean, 1896-1980, Cognition in children, Cognition",BF 723 .C5 N48 1983
12809,Studies in the perception of language / edited by W. J. M. Levelt and G. B. Flores D'Arcais.,Psycholinguistics -- Congresses,BF 455 .S755
12810,"Assessment of children : cognitive foundations and applications / Jerome M. Sattler, San Diego State University.","Children -- Intelligence testing, Ability -- Testing, Intelligence tests",BF 432 .C48 S28 2018
12811,"Preterm birth and psychological development / edited by Sarah L. Friedman, Marian Sigman.","Premature infants -- Psychology, Premature infants -- Physiology, Developmental psychology, Infant psychology",BF720.P7 P73
12812,"Multivariate applications in the social sciences / edited by Nancy Hirschberg, Lloyd G. Humphreys.","Psychology -- Statistical methods, Multivariate analysis, Social sciences -- Statistical methods",BF 39 .M849
12813,"Meng de jie xi = The interpretation of dreams / [Ao] Xigemengde Fuluoyide zhu ; Sun Mingzhi, Gu Kaihua, Feng Huaying yi.","Dream interpretation, Psychoanalysis, Dreams",BF 1078 .F72127x 2011
12814,Practical intelligence in everyday life / Robert J. Sternberg ... [et al.].,Intellect,BF 431 .P74x 2000
12815,"Environmental problems/behavioral solutions / by John D. Cone, Steven C. Hayes.","Environmental psychology, Behavior modification",BF 353 .C66
12816,"Culture and developmental systems / edited by Maria D. Sera, Michael Maratsos, Stephanie M. Carlson.","Child development -- Congresses, Child psychology -- Congresses, Children -- Government policy -- Congresses, Parent and child -- Congresses, Adaptability (Psychology) -- Congresses, Child psychopathology -- Prevention -- Congresses",BF 721 .M545 vol.38
12817,Bridging paradigms : positive development in adulthood and cognitive aging / edited by Jan D. Sinnott and John C. Cavanaugh.,"Adulthood -- Psychological aspects, Cognition -- Age factors, Aging -- Psychological aspects, Adulthood, Aging -- Social aspects",BF 724.55 .C63 B75 1991
12818,La part de fortune ; talisman de la néo-kabbale / Dom Nécroman.,Fortune-telling,BF 1879 .A7 N4x 1935
12819,Soznanie i obshchenie. [Otv. redaktor A. A. Brudnyĭ].,"Communication -- Social aspects, Consciousness",BF 311 .S655
12820,Emotion and social judgments / edited by Joseph P. Forgas.,"Affect (Psychology), Mood (Psychology), Emotions, Social perception",BF 531 .E4834 1991
12821,The acquisition of knowledge / James Russell.,"Cognition, Cognition in children, Knowledge, Theory of",BF 311 .R87 1978
12822,Handbook of intelligence / edited by Robert J. Sternberg.,"Intellect, Intelligence levels, Intelligence tests, Psychology, Comparative",BF 431 .H31865 2000
12823,Intrinsic motivation and self-determination in human behavior / Edward L. Deci and Richard M. Ryan.,"Intrinsic motivation, Psychology -- Philosophy, Personality",BF 503 .D43 1985
12824,The teenager's realistic guide to astrology.,Astrology,BF 1708.1 .J46
12825,Strategies for personality research / Donald W. Fiske.,Personality -- Research,BF 698 .F57
12826,"Psychology, from the standpoint of a behaviorist / by John B. Watson ; introduction by Joseph Wolpe.",Behaviorism (Psychology),BF 199 .W326 1983
12827,The handbook of communication skills / edited by Owen Hargie.,"Interpersonal communication, Communication -- Psychological aspects, Interviewing",BF 637 .C45 H284 1997
12828,Thinking visually : a strategy manual for problem solving / Robert H. McKim.,"Problem solving, Thought and thinking, Visualization",BF441 .M19
12829,From associations to structure : the course of cognition / Kellogg V. Wilson.,"Cognitive learning, Psycholinguistics",BF 311 .W5884
12830,"Mesopotamian magic : textual, historical, and interpretative perspectives / editors, Tzvi Abusch, Karel van der Toorn.","Magic, Assyro-Babylonian, Incantations, Assyro-Babylonian, Witchcraft",BF 1591 .M47x 1999
12831,"Spatial representation and behavior across the life span : theory and application / edited by Lynn S. Liben, Arthur H. Patterson, Nora Newcombe.","Spatial behavior, Developmental psychology",BF 469 .S68
12832,Psychology from the standpoint of an interbehaviorist / by N. H. Pronko.,"Psychology, Behaviorism (Psychology), Social interaction",BF 121 .P74
12833,Children under stress.,Stress in children,BF 723 .S75 W6 1973
12834,In midlife : a Jungian perspective / by Murray Stein.,"Middle age -- Psychological aspects, Identity (Psychology), Jung, C. G. (Carl Gustav), 1875-1961",BF 724.6 .S73 1983
12835,Estudios de psicología dinámica / Rogelio Díaz-Guerrero.,Psychoanalysis,BF 173 .D48 1963
12836,"APA handbook of personality and social psychology / Mario Mikulincer and Phillip R. Shaver, Editors-in-Chief.","Personality, Social psychology",BF 698 .A647 2015
12837,Defining creativity : the art and science of great ideas / Wouter Boon.,"Creative ability, Creation (Literary, artistic, etc.)",BF 408 .B676x 2014
12838,"Emotion regulation in couples and families : pathways to dysfunction and health / edited by Douglas K. Snyder, Jeffry A. Simpson, and Jan N. Hughes.","Emotions, Emotions -- Social aspects, Interpersonal relations",BF 531 .E4955 2006
12839,"EuroPsy : standards and quality in education for psychologists / Ingrid Lunt, José María Peiró, Ype Poortinga, & Robert A. Roe.","Psychologists -- Certification -- Europe, Psychologists -- Licenses -- Europe, Psychologists -- Training of -- Europe, Psychologists -- Professional ethics -- Europe",BF 80.8 .L85x 2015
12840,"Green : the history of a color / Michel Pastoureau, translated by Jody Gladding.","Green, Color -- Psychological aspects -- History, Color -- Social aspects -- History, Symbolism of colors -- History",BF 789 .C7 P39513 2014
12841,"The wellbeing of nations : meaning, motive and measurement / Paul Allin and David J. Hand.","Happiness, Well-being, Cost and standard of living, National income -- Accounting",BF 575 .H27 A445 2014
12842,Children's early thought : developments in classification / Susan Sugarman.,"Cognition in children, Children -- Language",BF 723 .C5 S88 1983
12843,Gifted children : a guide for parents and professionals / edited by Kate Distin.,Gifted children,BF 723 .G5 G537 2006
12844,Human ethology : claims and limits of a new disipline : contributions to the Colloquium / sponsored by the Werner-Reimers-Stiftung ; edited by M. von Cranach ... [et al.].,"Psychology, Comparative, Social psychology",BF 671 .W45 1977
12845,The lone twin : understanding twin bereavement and loss / Joan Woodward.,"Grief, Twins -- Psychology, Bereavement -- Psychological aspects, Attachment behavior",BF 723 .T9 W6x 2010
